epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9838,0.99739,3.94711,1.26743,0.00595,0.93321,0.23361,0.20346,0.57072,3.38023,0.90251,0.00019278,0.00019278,0.00019278
2,21.4272,0.86081,2.66153,1.13706,0.9,0.03919,0.47959,0.41927,0.59502,2.94579,0.93421,0.000382981,0.000382981,0.000382981
3,28.9989,0.83279,2.06453,1.11556,0.67675,0.53934,0.66966,0.56508,0.62506,2.31083,0.95315,0.000563285,0.000563285,0.000563285
4,35.2011,0.82061,1.788,1.07029,0.7457,0.69872,0.81988,0.71345,0.65154,1.83305,0.99059,0.000660986,0.000660986,0.000660986
5,42.8469,0.78688,1.60779,1.06436,0.79806,0.88482,0.91828,0.79346,0.65318,1.02541,1.02322,0.000643314,0.000643314,0.000643314
6,49.1102,0.76807,1.49053,1.04315,0.81231,0.80475,0.92005,0.78258,0.63195,1.14873,0.96913,0.000625642,0.000625642,0.000625642
7,56.6238,0.73827,1.38688,1.02192,0.91966,0.8488,0.97044,0.85784,0.55522,0.84088,0.95619,0.000607971,0.000607971,0.000607971
8,62.8602,0.68302,1.25005,1.01386,0.87883,0.96793,0.98103,0.87162,0.52215,0.73806,0.92869,0.0005903,0.0005903,0.0005903
9,70.4011,0.67294,1.15437,1.01674,0.96794,0.9399,0.97969,0.86552,0.51947,0.60543,0.93234,0.000572628,0.000572628,0.000572628
10,76.7291,0.7146,1.15821,1.02232,0.90394,0.97698,0.98103,0.87798,0.51039,0.58645,0.91647,0.000554956,0.000554956,0.000554956
11,84.2092,0.66293,1.04934,1.0001,0.95956,0.97769,0.98104,0.86874,0.52596,0.52542,0.93046,0.000537285,0.000537285,0.000537285
12,90.3819,0.6832,1.06851,1.00665,0.91831,0.9495,0.97591,0.86142,0.52248,0.58039,0.93496,0.000519613,0.000519613,0.000519613
13,97.909,0.65174,1.03893,0.98611,0.97034,0.95076,0.97974,0.86947,0.52538,0.51182,0.93818,0.000501942,0.000501942,0.000501942
14,104.122,0.65071,0.96559,0.98429,0.95233,0.95015,0.97972,0.88311,0.49385,0.50611,0.91993,0.000484271,0.000484271,0.000484271
15,111.768,0.63885,0.97928,0.98516,0.94509,0.97321,0.97972,0.88102,0.50048,0.47964,0.91805,0.000466599,0.000466599,0.000466599
16,117.978,0.64398,0.96192,0.98958,0.95591,0.93562,0.97866,0.88212,0.50176,0.49375,0.92734,0.000448928,0.000448928,0.000448928
17,125.505,0.59499,0.85902,0.96691,0.97128,0.97321,0.97709,0.88841,0.45581,0.465,0.90093,0.000431256,0.000431256,0.000431256
18,132.214,0.60876,0.87406,0.97874,0.97826,0.97311,0.97976,0.88875,0.47874,0.44212,0.91628,0.000413584,0.000413584,0.000413584
19,139.127,0.59695,0.83836,0.97463,0.97249,0.97082,0.98111,0.89244,0.47149,0.41795,0.90708,0.000395913,0.000395913,0.000395913
20,146.201,0.57627,0.81837,0.96293,0.97912,0.97473,0.98114,0.888,0.45807,0.39868,0.89514,0.000378242,0.000378242,0.000378242
21,152.777,0.5701,0.78115,0.95535,0.98275,0.97057,0.98117,0.89624,0.45385,0.40823,0.90069,0.00036057,0.00036057,0.00036057
22,160.523,0.54572,0.77106,0.94717,0.97931,0.97421,0.98121,0.89266,0.46763,0.41454,0.9146,0.000342899,0.000342899,0.000342899
